mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_nb__alpha,param_tfidf__max_features,param_tfidf__ngram_range,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.039411401748657225,0.0003743852140452738,0.009602069854736328,0.0004896875475772443,0.1,1000,"(1, 1)","{'nb__alpha': 0.1, 'tfidf__max_features': 1000, 'tfidf__ngram_range': (1, 1)}",0.41949220923266306,0.5031894837067917,0.38205452941013274,0.38237880120957657,0.3906655478072193,0.41555611427327666,0.045908018626968985,12
0.1384214401245117,0.007339658755701733,0.017045354843139647,0.0005595210668518239,0.1,1000,"(1, 2)","{'nb__alpha': 0.1, 'tfidf__max_features': 1000, 'tfidf__ngram_range': (1, 2)}",0.3792988979916506,0.43352030696459115,0.40190608759461843,0.40871344641039087,0.41517870677836666,0.4077234891479235,0.017685223425214548,23
0.25252437591552734,0.01063409219611253,0.023394203186035155,0.0012637105098528285,0.1,1000,"(1, 3)","{'nb__alpha': 0.1, 'tfidf__max_features': 1000, 'tfidf__ngram_range': (1, 3)}",0.39653882025484355,0.44596796279459994,0.40317769200511655,0.40611808765001567,0.4049456279752005,0.41134963813595526,0.017623563196301133,20
0.040456628799438475,0.0005765891690259483,0.00981292724609375,0.0006771436971061946,0.1,2000,"(1, 1)","{'nb__alpha': 0.1, 'tfidf__max_features': 2000, 'tfidf__ngram_range': (1, 1)}",0.4114528373063435,0.4167729279566102,0.38448516929472376,0.3950410523957967,0.401728223819138,0.40189604215452235,0.011513571175514848,27
0.12893204689025878,0.003967544873269099,0.0167510986328125,0.0005151584648055372,0.1,2000,"(1, 2)","{'nb__alpha': 0.1, 'tfidf__max_features': 2000, 'tfidf__ngram_range': (1, 2)}",0.4332905100075593,0.4859413024281727,0.3909470394692392,0.36968734741663134,0.3781996418898656,0.4116131682422936,0.04311822294862482,19
0.25144057273864745,0.002779520870255312,0.02308545112609863,0.0008402922517928631,0.1,2000,"(1, 3)","{'nb__alpha': 0.1, 'tfidf__max_features': 2000, 'tfidf__ngram_range': (1, 3)}",0.4285848398607127,0.48258515611717007,0.40385782718903496,0.3876114589453026,0.3738046958049899,0.415288795583442,0.038270661010105525,14
0.03903388977050781,0.0003925017225831633,0.009874486923217773,0.00021785408657794942,0.1,3000,"(1, 1)","{'nb__alpha': 0.1, 'tfidf__max_features': 3000, 'tfidf__ngram_range': (1, 1)}",0.38976822906854725,0.41512312480833863,0.37636342214979845,0.3866963538978593,0.3881282880020175,0.3912158835853122,0.012839056758742494,29
0.13201112747192384,0.006538790597209838,0.016811084747314454,0.0004318488405647414,0.1,3000,"(1, 2)","{'nb__alpha': 0.1, 'tfidf__max_features': 3000, 'tfidf__ngram_range': (1, 2)}",0.4134016413093615,0.43499553358739707,0.3843559897840188,0.3939832580005891,0.3956365657132523,0.4044745976789238,0.01791176729198008,26
0.26543416976928713,0.009420275207822336,0.02439908981323242,0.001145428098635523,0.1,3000,"(1, 3)","{'nb__alpha': 0.1, 'tfidf__max_features': 3000, 'tfidf__ngram_range': (1, 3)}",0.4135486639427043,0.47016338860819323,0.3949265524700918,0.3817298216171036,0.3809172104610457,0.4082571274198277,0.03313384606124055,22
0.039760923385620116,0.0005604627728778371,0.009665393829345703,0.0009169423027128088,0.1,,"(1, 1)","{'nb__alpha': 0.1, 'tfidf__max_features': None, 'tfidf__ngram_range': (1, 1)}",0.37838155901001613,0.36995545184706846,0.3615204220024069,0.3729194865458923,0.40588378938344893,0.37773214175776654,0.015095664413267536,35
0.14147047996520995,0.005706353655188238,0.019868946075439452,0.0007818986442825592,0.1,,"(1, 2)","{'nb__alpha': 0.1, 'tfidf__max_features': None, 'tfidf__ngram_range': (1, 2)}",0.34564720259011883,0.3478863675772318,0.35482921232070225,0.3351083014955533,0.34963803988494035,0.3466218247737093,0.006504904905117066,44
0.30620665550231935,0.023643683583156654,0.03149995803833008,0.0022279493683498024,0.1,,"(1, 3)","{'nb__alpha': 0.1, 'tfidf__max_features': None, 'tfidf__ngram_range': (1, 3)}",0.3375650497148742,0.32396160734723156,0.3110017931030995,0.2785668591270709,0.3329211745440889,0.31680329676727303,0.02115542667035214,48
0.04355344772338867,0.0012516688806794996,0.010382127761840821,0.0009187333453341991,0.5,1000,"(1, 1)","{'nb__alpha': 0.5, 'tfidf__max_features': 1000, 'tfidf__ngram_range': (1, 1)}",0.4198703966833539,0.4900018583589333,0.3944784876857076,0.4010345356194118,0.410279912814562,0.4231330382323938,0.03451583362101542,5
0.15140390396118164,0.011118057850620543,0.017317485809326173,0.0009356190453100407,0.5,1000,"(1, 2)","{'nb__alpha': 0.5, 'tfidf__max_features': 1000, 'tfidf__ngram_range': (1, 2)}",0.38368414462433964,0.4450554765879961,0.40694846913056615,0.41625302064619873,0.4149484256648296,0.413377907330786,0.019683792407443054,17
0.29773473739624023,0.022337798218880902,0.025664377212524413,0.0014742133238872376,0.5,1000,"(1, 3)","{'nb__alpha': 0.5, 'tfidf__max_features': 1000, 'tfidf__ngram_range': (1, 3)}",0.39941774960436116,0.46134470017031126,0.40881154276764375,0.41365766188582354,0.40635290144681624,0.41791691117499125,0.022194445679820162,10
0.040513229370117185,0.0007723472540581144,0.009623432159423828,0.0007845901205452948,0.5,2000,"(1, 1)","{'nb__alpha': 0.5, 'tfidf__max_features': 2000, 'tfidf__ngram_range': (1, 1)}",0.42769092168738276,0.41194926600007487,0.41131486687214847,0.40235748601771204,0.37760836884985344,0.40618418188543426,0.016451873279958153,25
0.13740615844726561,0.0027407482374303014,0.01692028045654297,0.0006841025251290303,0.5,2000,"(1, 2)","{'nb__alpha': 0.5, 'tfidf__max_features': 2000, 'tfidf__ngram_range': (1, 2)}",0.4142652502013562,0.4911825462125081,0.42673643203577066,0.3999576141051675,0.39425661319817074,0.4252796911505946,0.034843264084408326,4
0.26598358154296875,0.007617042621843708,0.024489116668701173,0.0007533066483110609,0.5,2000,"(1, 3)","{'nb__alpha': 0.5, 'tfidf__max_features': 2000, 'tfidf__ngram_range': (1, 3)}",0.4327425031456138,0.49624871996883235,0.4102806067209911,0.39654171447722364,0.40196196227010084,0.4275551013165524,0.036499231428373795,2
0.04037871360778809,0.0016208351651677683,0.00986943244934082,0.0005562826635810784,0.5,3000,"(1, 1)","{'nb__alpha': 0.5, 'tfidf__max_features': 3000, 'tfidf__ngram_range': (1, 1)}",0.39578657843728027,0.4261484070653315,0.3699522327182111,0.39189180630100334,0.365297007955695,0.3898152064955042,0.021705993643145974,30
0.1347808837890625,0.004836627588708544,0.01708664894104004,0.000517916885171003,0.5,3000,"(1, 2)","{'nb__alpha': 0.5, 'tfidf__max_features': 3000, 'tfidf__ngram_range': (1, 2)}",0.41333915512564473,0.44237563796647544,0.40814658492121425,0.3886618403099219,0.3846224198912692,0.40742912764290506,0.020635206545589143,24
0.26297388076782224,0.006871646777063728,0.023493480682373048,0.000719382104061504,0.5,3000,"(1, 3)","{'nb__alpha': 0.5, 'tfidf__max_features': 3000, 'tfidf__ngram_range': (1, 3)}",0.4186623373190316,0.49392668767928977,0.40055684076111875,0.3950958961744315,0.3931584905219182,0.420280050491158,0.03790849459130885,8
0.0398768424987793,0.0010700510951100666,0.009612607955932616,0.0005738548958057891,0.5,,"(1, 1)","{'nb__alpha': 0.5, 'tfidf__max_features': None, 'tfidf__ngram_range': (1, 1)}",0.2902581218932406,0.3615596128402439,0.31554333555632896,0.29693648752109925,0.3273529336703336,0.31833009829624925,0.025312806931020396,47
0.139548921585083,0.0026439582522275597,0.019307374954223633,0.0007815548235295897,0.5,,"(1, 2)","{'nb__alpha': 0.5, 'tfidf__max_features': None, 'tfidf__ngram_range': (1, 2)}",0.23308602990991623,0.2252694806410681,0.22210513855523303,0.21654817574254723,0.2017848760181823,0.21975874017338937,0.010458087915333198,51
0.29471554756164553,0.012462647537514603,0.02951393127441406,0.002354774278967864,0.5,,"(1, 3)","{'nb__alpha': 0.5, 'tfidf__max_features': None, 'tfidf__ngram_range': (1, 3)}",0.21088618445202634,0.21380175636554627,0.20271015309011675,0.19943665354381573,0.20042302405819445,0.20545155430193987,0.0058007156027134335,52
0.03906393051147461,0.0008309918056483978,0.00907759666442871,0.00039397847156902056,1.0,1000,"(1, 1)","{'nb__alpha': 1.0, 'tfidf__max_features': 1000, 'tfidf__ngram_range': (1, 1)}",0.4214071224847856,0.4909247081189923,0.4079058730202481,0.40990004645656164,0.41432123726617154,0.42889179746935185,0.03136080107216867,1
0.12937207221984864,0.0015121177798577616,0.01648716926574707,0.000331730213343443,1.0,1000,"(1, 2)","{'nb__alpha': 1.0, 'tfidf__max_features': 1000, 'tfidf__ngram_range': (1, 2)}",0.3858704056021608,0.4564706875437411,0.4249035922468276,0.4227506769755376,0.41210751657392053,0.42042057578843756,0.02275064209679784,7
0.29115972518920896,0.013619030275562384,0.024271059036254882,0.0024652162158755194,1.0,1000,"(1, 3)","{'nb__alpha': 1.0, 'tfidf__max_features': 1000, 'tfidf__ngram_range': (1, 3)}",0.40974363594136987,0.44761815663238663,0.4168746400967729,0.4176563416867781,0.4105320772110084,0.4204849703136631,0.01394045744730545,6
0.040410089492797854,0.0008824910891435074,0.00959792137145996,0.0007225574773718234,1.0,2000,"(1, 1)","{'nb__alpha': 1.0, 'tfidf__max_features': 2000, 'tfidf__ngram_range': (1, 1)}",0.37306185547315923,0.4075824881637348,0.3978825336605243,0.3743561636675755,0.38472259227021366,0.3875211266470416,0.013416672828919798,32
0.15224766731262207,0.013522821572793867,0.018100595474243163,0.0011211269746417196,1.0,2000,"(1, 2)","{'nb__alpha': 1.0, 'tfidf__max_features': 2000, 'tfidf__ngram_range': (1, 2)}",0.40815180235569215,0.4915037546818014,0.4099375656700296,0.3833276706966572,0.3934836686248576,0.4172808924058076,0.03838079504451149,11
0.3003966808319092,0.007811209615856224,0.02600274085998535,0.0014797516872752093,1.0,2000,"(1, 3)","{'nb__alpha': 1.0, 'tfidf__max_features': 2000, 'tfidf__ngram_range': (1, 3)}",0.4326184730819537,0.46127361881726064,0.40364609729706646,0.388187462768318,0.3902525270637127,0.41519563580566227,0.027970440473695322,15
0.04136881828308105,0.0012077267739849763,0.010084962844848633,0.0008020415260719568,1.0,3000,"(1, 1)","{'nb__alpha': 1.0, 'tfidf__max_features': 3000, 'tfidf__ngram_range': (1, 1)}",0.36865259529269523,0.4078865062943603,0.35337889058994276,0.34702472884387614,0.3476088327976167,0.36491031076369823,0.022861176292705655,40
